ID,Type,Title,Author,Year,Journal,Booktitle,Volume,Number,Pages,DOI,URL,Publisher,Editor,Abstract,Keywords,bibsource,biburl,timestamp,eprint,eprinttype,series,note,howpublished,month,CCF_Rank,CCF_Name,CAS_Zone,CAS_Top,CAS_Name,Publication_Type,CAS_Category,CCF_Type
DBLP:journals/pami/LiuHLLLOPT24,article,Editorial: Learning With Fewer Labels in Computer Vision,Li Liu; Timothy M. Hospedales; Yann LeCun; Mingsheng Long; Jiebo Luo; Wanli Ouyang; Matti Pietikäinen; Tinne Tuytelaars,2024,IEEE Trans. Pattern Anal. Mach. Intell.,,46,3,1319--1326,10.1109/TPAMI.2023.3341723,https://doi.org/10.1109/TPAMI.2023.3341723,,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/pami/LiuHLLLOPT24.bib,"Tue, 03 Dec 2024 00:00:00 +0100",,,,,,,A类,TPAMI,1区,是,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,journal,计算机科学,推荐国际学术刊物
DBLP:conf/cvpr/Tong0Z0LX24,inproceedings,Eyes Wide Shut? Exploring the Visual Shortcomings of Multimodal LLMs,Shengbang Tong; Zhuang Liu; Yuexiang Zhai; Yi Ma; Yann LeCun; Saining Xie,2024,,"IEEE/CVF Conference on Computer Vision and Pattern Recognition, CVPR 2024, Seattle, WA, USA, June 16-22, 2024",,,9568--9578,10.1109/CVPR52733.2024.00914,https://doi.org/10.1109/CVPR52733.2024.00914,IEEE,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/cvpr/Tong0Z0LX24.bib,"Sun, 19 Jan 2025 13:39:05 +0100",,,,,,,A类,CVPR,,,,conference,,推荐国际学术会议
DBLP:conf/eccv/BarBTLRLGD24,inproceedings,EgoPet: Egomotion and Interaction Data from an Animal's Perspective,Amir Bar; Arya Bakhtiar; Danny Tran; Antonio Loquercio; Jathushan Rajasegaran; Yann LeCun; Amir Globerson; Trevor Darrell,2024,,"Computer Vision - ECCV 2024 - 18th European Conference, Milan, Italy, September 29-October 4, 2024, Proceedings, Part XXXVII",15095,,377--394,10.1007/978-3-031-72913-3_21,https://doi.org/10.1007/978-3-031-72913-3_21,Springer,Ales Leonardis; Elisa Ricci; Stefan Roth; Olga Russakovsky; Torsten Sattler; Gül Varol,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/eccv/BarBTLRLGD24.bib,"Tue, 10 Dec 2024 14:49:11 +0100",,,Lecture Notes in Computer Science,,,,B类,ECCV,,,,conference,,推荐国际学术会议
DBLP:conf/icml/BalestrieroL24,inproceedings,How Learning by Reconstruction Produces Uninformative Features For Perception,Randall Balestriero; Yann LeCun,2024,,"Forty-first International Conference on Machine Learning, ICML 2024, Vienna, Austria, July 21-27, 2024",,,,,https://openreview.net/forum?id=XsDWw1Mn2p,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/icml/BalestrieroL24.bib,"Mon, 02 Sep 2024 16:45:29 +0200",,,,,,,A类,ICML,,,,conference,,推荐国际学术会议
DBLP:conf/icml/BarBSAVBDGL24,inproceedings,Stochastic positional embeddings improve masked image modeling,Amir Bar; Florian Bordes; Assaf Shocher; Mido Assran; Pascal Vincent; Nicolas Ballas; Trevor Darrell; Amir Globerson; Yann LeCun,2024,,"Forty-first International Conference on Machine Learning, ICML 2024, Vienna, Austria, July 21-27, 2024",,,,,https://openreview.net/forum?id=hr8OXXMb7a,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/icml/BarBSAVBDGL24.bib,"Mon, 02 Sep 2024 01:00:00 +0200",,,,,,,A类,ICML,,,,conference,,推荐国际学术会议
DBLP:conf/icml/PressSLB24,inproceedings,The Entropy Enigma: Success and Failure of Entropy Minimization,Ori Press; Ravid Shwartz-Ziv; Yann LeCun; Matthias Bethge,2024,,"Forty-first International Conference on Machine Learning, ICML 2024, Vienna, Austria, July 21-27, 2024",,,,,https://openreview.net/forum?id=0bGsVoumFL,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/icml/PressSLB24.bib,"Mon, 02 Sep 2024 01:00:00 +0200",,,,,,,A类,ICML,,,,conference,,推荐国际学术会议
DBLP:conf/nips/He0SC0LBH24,inproceedings,G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding and Question Answering,Xiaoxin He; Yijun Tian; Yifei Sun; Nitesh V. Chawla; Thomas Laurent; Yann LeCun; Xavier Bresson; Bryan Hooi,2024,,"Advances in Neural Information Processing Systems 38: Annual Conference on Neural Information Processing Systems 2024, NeurIPS 2024, Vancouver, BC, Canada, December 10 - 15, 2024",,,,,http://papers.nips.cc/paper_files/paper/2024/hash/efaf1c9726648c8ba363a5c927440529-Abstract-Conference.html,,Amir Globersons; Lester Mackey; Danielle Belgrave; Angela Fan; Ulrich Paquet; Jakub M. Tomczak; Cheng Zhang,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/nips/He0SC0LBH24.bib,"Tue, 06 May 2025 01:00:00 +0200",,,,,,,A类,NeurIPS,,,,conference,,推荐国际学术会议
DBLP:conf/nips/TongBWWIAYYMWPF24,inproceedings,"Cambrian-1: A Fully Open, Vision-Centric Exploration of Multimodal LLMs",Peter Tong; Ellis Brown; Penghao Wu; Sanghyun Woo; Adithya Iyer; Sai Charitha Akula; Shusheng Yang; Jihan Yang; Manoj Middepogu; Ziteng Wang; Xichen Pan; Rob Fergus; Yann LeCun; Saining Xie,2024,,"Advances in Neural Information Processing Systems 38: Annual Conference on Neural Information Processing Systems 2024, NeurIPS 2024, Vancouver, BC, Canada, December 10 - 15, 2024",,,,,http://papers.nips.cc/paper_files/paper/2024/hash/9ee3a664ccfeabc0da16ac6f1f1cfe59-Abstract-Conference.html,,Amir Globersons; Lester Mackey; Danielle Belgrave; Angela Fan; Ulrich Paquet; Jakub M. Tomczak; Cheng Zhang,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/nips/TongBWWIAYYMWPF24.bib,"Thu, 13 Feb 2025 00:00:00 +0100",,,,,,,A类,NeurIPS,,,,conference,,推荐国际学术会议
DBLP:conf/nips/ZhaiBLPTZSXL0L24,inproceedings,Fine-Tuning Large Vision-Language Models as Decision-Making Agents via Reinforcement Learning,Simon Zhai; Hao Bai; Zipeng Lin; Jiayi Pan; Peter Tong; Yifei Zhou; Alane Suhr; Saining Xie; Yann LeCun; Yi Ma; Sergey Levine,2024,,"Advances in Neural Information Processing Systems 38: Annual Conference on Neural Information Processing Systems 2024, NeurIPS 2024, Vancouver, BC, Canada, December 10 - 15, 2024",,,,,http://papers.nips.cc/paper_files/paper/2024/hash/c848b7d3adc08fcd0bf1df3101ba6728-Abstract-Conference.html,,Amir Globersons; Lester Mackey; Danielle Belgrave; Angela Fan; Ulrich Paquet; Jakub M. Tomczak; Cheng Zhang,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/nips/ZhaiBLPTZSXL0L24.bib,"Thu, 13 Feb 2025 00:00:00 +0100",,,,,,,A类,NeurIPS,,,,conference,,推荐国际学术会议
DBLP:conf/icassp/BalestrieroL23,inproceedings,Fast and Exact Enumeration of Deep Networks Partitions Regions,Randall Balestriero; Yann LeCun,2023,,"IEEE International Conference on Acoustics, Speech and Signal Processing ICASSP 2023, Rhodes Island, Greece, June 4-10, 2023",,,1--5,10.1109/ICASSP49357.2023.10095698,https://doi.org/10.1109/ICASSP49357.2023.10095698,IEEE,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/icassp/BalestrieroL23.bib,"Sun, 19 Jan 2025 13:18:24 +0100",,,,,,,B类,ICASSP,,,,conference,,推荐国际学术会议
