ID,Type,Title,Author,Year,Journal,Booktitle,Volume,Number,Pages,DOI,URL,Publisher,Editor,Abstract,Keywords,bibsource,biburl,timestamp,eprint,eprinttype,series,note,howpublished,month,CCF_Rank,CCF_Name,CAS_Zone,CAS_Top,CAS_Name,Publication_Type,CAS_Category,CCF_Type
DBLP:conf/iclr/0001VSL0025,inproceedings,Hierarchical World Models as Visual Whole-Body Humanoid Controllers,Nicklas Hansen; Jyothir S. V; Vlad Sobal; Yann LeCun; Xiaolong Wang; Hao Su,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=7wuJMvK639,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/0001VSL0025.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:conf/iclr/ArefinSGLRSP25,inproceedings,Seq-VCR: Preventing Collapse in Intermediate Transformer Representations for Enhanced Reasoning,Md Rifat Arefin; Gopeshh Subbaraj; Nicolas Gontier; Yann LeCun; Irina Rish; Ravid Shwartz-Ziv; Christopher Pal,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=30oIfmrcFO,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/ArefinSGLRSP25.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:conf/iclr/SobalIBCBACL25,inproceedings,X-Sample Contrastive Loss: Improving Contrastive Learning with Sample Similarity Graphs,Vlad Sobal; Mark Ibrahim; Randall Balestriero; Vivien Cabannes; Diane Bouchacourt; Pietro Astolfi; Kyunghyun Cho; Yann LeCun,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=c1Ng0f8ivn,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/SobalIBCBACL25.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:conf/iclr/WangHXLR25,inproceedings,PooDLen̆icode128041: Pooled and dense self-supervised learning from naturalistic videos,Alex N. Wang; Christopher Hoang; Yuwen Xiong; Yann LeCun; Mengye Ren,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=dEg5SdGaiq,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/WangHXLR25.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:conf/iclr/WhiteDRPF0SJSDS25,inproceedings,"LiveBench: A Challenging, Contamination-Limited LLM Benchmark",Colin White; Samuel Dooley; Manley Roberts; Arka Pal; Benjamin Feuer; Siddhartha Jain; Ravid Shwartz-Ziv; Neel Jain; Khalid Saifullah; Sreemanti Dey; Shubh-Agrawal; Sandeep Singh Sandha; Siddartha V. Naidu; Chinmay Hegde; Yann LeCun; Tom Goldstein; Willie Neiswanger; Micah Goldblum,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=sKYHBTAxVa,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/WhiteDRPF0SJSDS25.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:conf/iclr/YunZLC25,inproceedings,URLOST: Unsupervised Representation Learning without Stationarity or Topology,Zeyu Yun; Juexiao Zhang; Yann LeCun; Yubei Chen,2025,,"The Thirteenth International Conference on Learning Representations, ICLR 2025, Singapore, April 24-28, 2025",,,,,https://openreview.net/forum?id=MBBRHDuiwM,OpenReview.net,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/conf/iclr/YunZLC25.bib,"Thu, 15 May 2025 01:00:00 +0200",,,,,,,,,,,,conference,,
DBLP:journals/corr/abs-2502-02013,article,Layer by Layer: Uncovering Hidden Representations in Language Models,Oscar Skean; Md Rifat Arefin; Dan Zhao; Niket Patel; Jalal Naghiyev; Yann LeCun; Ravid Shwartz-Ziv,2025,CoRR,,abs/2502.02013,,,10.48550/ARXIV.2502.02013,https://doi.org/10.48550/arXiv.2502.02013,,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/corr/abs-2502-02013.bib,"Mon, 10 Mar 2025 00:00:00 +0100",2502.02013,arXiv,,,,,,,,,,journal,,
DBLP:journals/corr/abs-2502-11831,article,Intuitive physics understanding emerges from self-supervised pretraining on natural videos,Quentin Garrido; Nicolas Ballas; Mahmoud Assran; Adrien Bardes; Laurent Najman; Michael Rabbat; Emmanuel Dupoux; Yann LeCun,2025,CoRR,,abs/2502.11831,,,10.48550/ARXIV.2502.11831,https://doi.org/10.48550/arXiv.2502.11831,,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/corr/abs-2502-11831.bib,"Wed, 19 Mar 2025 00:00:00 +0100",2502.11831,arXiv,,,,,,,,,,journal,,
DBLP:journals/corr/abs-2502-14819,article,Learning from Reward-Free Offline Data: A Case for Planning with Latent Dynamics Models,Vlad Sobal; Wancong Zhang; Kynghyun Cho; Randall Balestriero; Tim G. J. Rudner; Yann LeCun,2025,CoRR,,abs/2502.14819,,,10.48550/ARXIV.2502.14819,https://doi.org/10.48550/arXiv.2502.14819,,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/corr/abs-2502-14819.bib,"Thu, 20 Mar 2025 00:00:00 +0100",2502.14819,arXiv,,,,,,,,,,journal,,
DBLP:journals/corr/abs-2502-15969,article,Forgotten Polygons: Multimodal Large Language Models are Shape-Blind,William Rudman; Michal Golovanesky; Amir Bar; Vedant Palit; Yann LeCun; Carsten Eickhoff; Ritambhara Singh,2025,CoRR,,abs/2502.15969,,,10.48550/ARXIV.2502.15969,https://doi.org/10.48550/arXiv.2502.15969,,,,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/corr/abs-2502-15969.bib,"Thu, 20 Mar 2025 00:00:00 +0100",2502.15969,arXiv,,,,,,,,,,journal,,
